66975	3862	67539	29687	81347
7440	25286	98659	75647	72813
2935	30598	97951	85314	70740
16168	1791	42601	98416	26513
3533	30609	81674	33781	14891
81698	72440	17059	81027	17969
54124	36526	10427	84557	34905
41069	28802	59195	19212	38242
70651	62238	61997	79157	34505
20731	82891	41568	81528	33047
62229	33460	44046	52057	96222
23862	29758	93918	68932	29720
38353	23365	5054	21563	56375
41401	76837	28576	23317	46444
22034	49376	83404	5511	95363
6265	62116	59539	72762	45953
58058	12742	49899	18185	40191
61196	86765	72833	58321	79090
18243	93076	70343	5396	66937
83061	30461	27104	45512	74033
81173	52313	64069	80567	2779
70696	28795	43876	37118	80801
11504	60530	29867	5663	35943
77056	94789	96806	88155	54939
34571	7618	77659	32915	70314
65538	89135	44058	47822	95740
5024	25084	64398	3141	29001
90964	14207	47595	47885	65152
16048	52165	25190	64962	39823
25586	44144	53851	15813	61984
53740	52777	40567	40517	82435
91421	63827	3972	4601	55848
55599	91023	69828	40299	28473
18186	14400	98477	7693	88582
79950	29527	29313	45548	88879
72082	85349	84958	62811	97721
92551	45112	89575	1974	52384
2941	13945	27801	63464	92052
41378	91811	11911	89191	9629
51016	64664	62354	21368	39678
87873	51964	19364	84357	81789
11992	94083	69254	40008	48074
33871	55912	88976	56844	40251
56060	57032	65285	90790	25418
93055	40604	19820	8128	61939
217	66409	64860	45803	41086
63678	36159	77725	69604	52439
37670	2625	90390	85026	30851
6627	32923	29851	9557	52753
51632	99144	67577	79859	8681
17511	49132	40134	24910	79587
93125	75609	81265	64339	44533
73754	73750	85594	85168	99938
29298	51914	92435	88595	83806
96125	47965	71106	28109	96684
98399	15767	61351	91352	90514
86138	38381	84594	30564	65639
4575	13876	86786	64950	60512
80922	18686	41330	12647	23268
2582	96223	58730	38465	76149
53988	26788	22161	11009	85684
94763	70739	6468	36059	63878
64326	39733	10944	2808	56391
78655	87299	37863	47136	5956
55692	4594	89255	77939	80868
60103	31239	52568	73366	43022
9811	75325	17088	151	39409
8167	80703	12208	74890	28425
90145	91195	70506	62463	68620
44580	9926	41480	78023	6732
18725	76667	45651	9910	6869
42247	49386	9210	53662	89220
49321	87104	93866	69788	9725
60226	56525	78916	12483	68995
11602	2695	62495	30699	16510
90831	38875	82050	17536	40477
97706	96216	14131	81859	20830
40881	43081	78153	34662	6791
34119	60671	55824	99489	18653
4899	80455	59444	4666	24879
72994	32764	44069	76227	92460
17107	61103	17948	87659	69418
62335	31818	91489	15332	50551
29998	51704	67255	47429	40985
85992	8585	95390	90961	39526
27981	81399	47452	58612	93496
4306	33827	10412	94770	249
75295	49232	46279	92160	6580
76962	44770	43848	73370	80614
69219	18492	57608	48121	53018
98419	44680	34033	41490	90877
43665	22892	86579	89355	28127
97765	90125	91364	25863	77643
62515	99846	70815	88331	2672
78856	38383	89539	68542	85349
33694	54855	94415	22880	54584
45389	39856	62510	22551	13170
68284	52273	22753	66541	58955
89959	32602	6904	69312	32250
58707	7928	3115	72870	36548
83379	97376	47294	33466	9486
34627	98962	57403	496	78901
70139	90295	46079	55717	32031
1235	16071	14054	39428	88941
19054	27740	39475	14498	39230
26417	32545	13037	99573	2640
72805	31045	99290	59392	38783
61425	41872	75571	99817	10174
4567	82636	86787	28282	19335
32250	94967	65784	63733	9433
51738	59422	98800	89806	48711
58152	58734	22687	1368	58132
17854	30353	86931	85177	36854
