34948	69511	15232	19380	4581
24438	37437	52601	68921	98138
27718	82563	3153	25739	30760
72487	77689	49787	85780	14297
54935	36107	76421	15541	4802
97415	85536	74338	48590	79068
67328	90455	98370	44556	75541
22883	84373	19488	4424	29647
86151	75536	42018	94351	55016
34924	49643	47986	31103	62336
65558	82622	43105	2916	59021
84548	2817	27624	49195	43254
83728	40706	21399	47342	57604
32316	45234	5470	42868	1497
941	68626	96332	54558	31352
70847	58101	31676	26094	83974
44090	18409	16828	95256	24284
64851	22017	73541	72259	43230
72111	34059	32501	39664	68035
67883	70412	45241	22012	59881
67803	2317	61495	5448	24159
34093	46499	81983	55491	52497
16670	16472	78900	12337	85135
87600	63093	86161	96252	34091
40641	32950	96791	8503	60018
15079	32031	18778	28016	97902
65345	61981	52592	66483	71170
53999	47412	22903	47292	23077
1669	18467	71402	85402	53538
58717	52178	75190	14468	45309
83384	19965	50662	52709	35094
38730	61171	83492	65434	69555
93592	52863	86399	48803	97921
47035	50119	38382	88316	83709
56502	1586	1882	3277	15202
78517	34463	97384	16627	93637
69186	26173	42055	31546	11795
64863	27026	76484	94716	94056
60660	84683	56554	21116	58810
33624	5154	13079	57385	13022
85740	42745	71417	51044	45209
54784	34173	56461	27126	32525
99983	11268	18868	51689	87470
86684	86593	50755	48184	14554
50944	60183	52247	99069	33887
78483	35121	97635	79544	49905
12645	8844	67674	75176	52060
59423	63549	58789	65897	60648
49764	66557	5501	14933	68863
69366	21878	94274	32535	16664
36637	90494	16570	17286	92204
91730	20084	78792	77902	40101
62892	78204	45176	47146	79872
63716	88009	20897	18566	9029
95766	88575	27303	71538	87828
69240	96408	81730	12529	70111
10696	42817	68337	93596	11009
49749	461	33322	33296	28241
9194	79666	5413	51273	96211
11794	21951	88122	37144	94314
23464	38351	59311	85944	28663
34948	18658	52282	61072	3550
45525	87942	10479	3309	12604
64806	43977	89607	51228	45416
15536	70473	71090	90946	5953
21679	2974	19817	25111	9514
15496	73568	56146	31323	2938
2335	88960	30642	69446	51801
10996	30553	40088	24540	60817
91473	33587	5023	99970	35918
85615	75308	61250	62891	20354
13820	13287	81917	17681	28697
86210	56835	70895	51019	26967
44743	12392	42024	64250	7759
93148	11656	79162	13707	30991
77987	86756	58214	48483	46917
6013	83088	77218	62613	63785
10277	95810	46139	50701	89107
2225	13207	80676	51012	16133
86176	27513	88863	21312	80662
51504	86428	24066	79046	39153
15141	39984	96354	81158	71784
85393	47690	87137	77903	59392
8094	54665	65845	39102	79429
3256	393	26440	504	93481
81826	66092	82675	10427	33605
9889	73015	69987	66439	18380
73152	24405	38283	33133	40011
44171	82291	74175	53158	56607
4749	97875	81616	52628	38364
10637	73652	14995	21758	81473
33009	93508	41804	39369	15984
16731	61803	32828	68781	20415
67845	42246	33044	53610	74550
27339	6790	15136	13886	16908
81180	51953	18839	30834	51632
26743	41547	97604	50580	89968
96280	2343	31542	16385	45034
85292	54712	46951	55821	89193
80340	53795	68870	67642	3671
72947	10561	76619	46294	93831
4548	50246	61024	97201	3616
85709	41986	93433	51575	47032
71931	81684	70870	60686	49781
55816	5593	59538	50891	22705
20309	30272	61680	13699	73489
44251	73703	22360	32471	80706
50833	96285	96306	78453	39171
48409	93089	29786	17330	64600
25430	58674	60672	81849	70069
74202	17524	55235	22713	40862
67877	21977	26499	37050	71185
87925	20241	16979	16954	58723
34545	39009	93162	22999	85533
96435	77591	62236	62269	27211
